week,threshold,scenario,tp_weight,fp_penalty,fn_penalty,net_utility,alerts_sent,precision,recall
6,0.2,high_precision,1.0,2.0,0.5,-0.13400417229107867,6670,0.616791604197901,0.9562993956299396
6,0.2,high_recall,1.0,0.25,1.0,0.403362375751626,6670,0.616791604197901,0.9562993956299396
6,0.30000000000000004,balanced,1.0,0.5,0.25,0.35737513805374893,5496,0.7003275109170306,0.8947001394700139
6,0.30000000000000004,false_alert_sensitive,1.0,1.0,0.25,0.2563197938397349,5496,0.7003275109170306,0.8947001394700139
6,0.30000000000000004,high_precision,1.0,2.0,0.5,0.040311694686464596,5496,0.7003275109170306,0.8947001394700139
6,0.30000000000000004,high_recall,1.0,0.25,1.0,0.3662105779850288,5496,0.7003275109170306,0.8947001394700139
6,0.4,balanced,1.0,0.5,0.25,0.345901337587434,4591,0.7704203877150948,0.8221757322175732
6,0.4,false_alert_sensitive,1.0,1.0,0.25,0.2812308258682047,4591,0.7704203877150948,0.8221757322175732
6,0.4,high_precision,1.0,2.0,0.5,0.12842066511228373,4591,0.7704203877150948,0.8221757322175732
6,0.4,high_recall,1.0,0.25,1.0,0.30782918149466193,4591,0.7704203877150948,0.8221757322175732
6,0.5,balanced,1.0,0.5,0.25,0.32359798748312674,3908,0.8285568065506653,0.7526731752673175
6,0.5,false_alert_sensitive,1.0,1.0,0.25,0.2824886489139772,3908,0.8285568065506653,0.7526731752673175
6,0.5,high_precision,1.0,2.0,0.5,0.16762792980733832,3908,0.8285568065506653,0.7526731752673175
6,0.5,high_recall,1.0,0.25,1.0,0.24622653086268254,3908,0.8285568065506653,0.7526731752673175
6,0.6000000000000001,balanced,1.0,0.5,0.25,0.2910786599582771,3318,0.8794454490657022,0.6782891678289168
6,0.6000000000000001,false_alert_sensitive,1.0,1.0,0.25,0.26653577126027733,3318,0.8794454490657022,0.6782891678289168
6,0.6000000000000001,high_precision,1.0,2.0,0.5,0.17499079641673826,3318,0.8794454490657022,0.6782891678289168
6,0.6000000000000001,high_recall,1.0,0.25,1.0,0.17597251196465824,3318,0.8794454490657022,0.6782891678289168
6,0.7000000000000002,balanced,1.0,0.5,0.25,0.24555160142348753,2737,0.92802338326635,0.5904230590423059
6,0.7000000000000002,false_alert_sensitive,1.0,1.0,0.25,0.23346422873972267,2737,0.92802338326635,0.5904230590423059
6,0.7000000000000002,high_precision,1.0,2.0,0.5,0.15523377101484845,2737,0.92802338326635,0.5904230590423059
6,0.7000000000000002,high_recall,1.0,0.25,1.0,0.08942815069333661,2737,0.92802338326635,0.5904230590423059
6,0.8,balanced,1.0,0.5,0.25,0.19419560682292306,2230,0.9668161434977578,0.5011622501162251
6,0.8,false_alert_sensitive,1.0,1.0,0.25,0.1896551724137931,2230,0.9668161434977578,0.5011622501162251
6,0.8,high_precision,1.0,2.0,0.5,0.11473800466314885,2230,0.9668161434977578,0.5011622501162251
6,0.8,high_recall,1.0,0.25,1.0,-0.0010430727696649897,2230,0.9668161434977578,0.5011622501162251
8,0.2,balanced,1.0,0.5,0.25,0.36197692968462386,6226,0.6551557982653389,0.9481636448163645
8,0.2,false_alert_sensitive,1.0,1.0,0.25,0.2302429745981102,6226,0.6551557982653389,0.9481636448163645
8,0.2,high_precision,1.0,2.0,0.5,-0.0400662657994846,6226,0.6551557982653389,0.9481636448163645
8,0.2,high_recall,1.0,0.25,1.0,0.40731991655417843,6226,0.6551557982653389,0.9481636448163645
8,0.30000000000000004,balanced,1.0,0.5,0.25,0.3704749048963063,5181,0.7373093997297819,0.8879590887959089
8,0.30000000000000004,false_alert_sensitive,1.0,1.0,0.25,0.2869677261013621,5181,0.7373093997297819,0.8879590887959089
8,0.30000000000000004,high_precision,1.0,2.0,0.5,0.10516627807092895,5181,0.7373093997297819,0.8879590887959089
8,0.30000000000000004,high_recall,1.0,0.25,1.0,0.3678672229721438,5181,0.7373093997297819,0.8879590887959089
8,0.4,balanced,1.0,0.5,0.25,0.3613326788563014,4392,0.8087431693989071,0.8256624825662483
8,0.4,false_alert_sensitive,1.0,1.0,0.25,0.3097926125905019,4392,0.8087431693989071,0.8256624825662483
8,0.4,high_precision,1.0,2.0,0.5,0.18370352190452816,4392,0.8087431693989071,0.8256624825662483
8,0.4,high_recall,1.0,0.25,1.0,0.3180758375260768,4392,0.8087431693989071,0.8256624825662483
8,0.5,balanced,1.0,0.5,0.25,0.348294269235489,3901,0.8590105101256088,0.7789400278940027
8,0.5,false_alert_sensitive,1.0,1.0,0.25,0.31454779727573934,3901,0.8590105101256088,0.7789400278940027
8,0.5,high_precision,1.0,2.0,0.5,0.21787949441649282,3901,0.8590105101256088,0.7789400278940027
8,0.5,high_recall,1.0,0.25,1.0,0.2776414283961222,3901,0.8590105101256088,0.7789400278940027
8,0.6000000000000001,balanced,1.0,0.5,0.25,0.32500920358326174,3437,0.9048588885656096,0.7229195722919572
8,0.6000000000000001,false_alert_sensitive,1.0,1.0,0.25,0.3049453920726469,3437,0.9048588885656096,0.7229195722919572
8,0.6000000000000001,high_precision,1.0,2.0,0.5,0.22824886489139773,3437,0.9048588885656096,0.7229195722919572
8,0.6000000000000001,high_recall,1.0,0.25,1.0,0.22533439685851026,3437,0.9048588885656096,0.7229195722919572
8,0.7000000000000002,balanced,1.0,0.5,0.25,0.28893115719720214,3003,0.9383949383949384,0.6550441655044166
8,0.7000000000000002,false_alert_sensitive,1.0,1.0,0.25,0.2775800711743772,3003,0.9383949383949384,0.6550441655044166
8,0.7000000000000002,high_precision,1.0,2.0,0.5,0.2093508405939379,3003,0.9383949383949384,0.6550441655044166
8,0.7000000000000002,high_recall,1.0,0.25,1.0,0.15802552460424593,3003,0.9383949383949384,0.6550441655044166
8,0.8,balanced,1.0,0.5,0.25,0.25085900110443,2598,0.9719014626635873,0.5869363086936309
8,0.8,false_alert_sensitive,1.0,1.0,0.25,0.24637992391704502,2598,0.9719014626635873,0.5869363086936309
8,0.8,high_precision,1.0,2.0,0.5,0.18290587802184316,2598,0.9719014626635873,0.5869363086936309
8,0.8,high_recall,1.0,0.25,1.0,0.0895508651368266,2598,0.9719014626635873,0.5869363086936309
10,0.2,balanced,1.0,0.5,0.25,0.3711498343355013,6059,0.6723881828684601,0.9470013947001394
10,0.2,false_alert_sensitive,1.0,1.0,0.25,0.2493557491716775,6059,0.6723881828684601,0.9470013947001394
10,0.2,high_precision,1.0,2.0,0.5,-0.0012271444348999877,6059,0.6723881828684601,0.9470013947001394
10,0.2,high_recall,1.0,0.25,1.0,0.41106270708062337,6059,0.6723881828684601,0.9470013947001394
10,0.30000000000000004,balanced,1.0,0.5,0.25,0.3801079887102712,5024,0.7603503184713376,0.8879590887959089
10,0.30000000000000004,false_alert_sensitive,1.0,1.0,0.25,0.30623389372929194,5024,0.7603503184713376,0.8879590887959089
10,0.30000000000000004,high_precision,1.0,2.0,0.5,0.14369861332678857,5024,0.7603503184713376,0.8879590887959089
10,0.30000000000000004,high_recall,1.0,0.25,1.0,0.3726837648791263,5024,0.7603503184713376,0.8879590887959089
10,0.4,balanced,1.0,0.5,0.25,0.3705976193397963,4304,0.8294609665427509,0.8298465829846583
10,0.4,false_alert_sensitive,1.0,1.0,0.25,0.32556141857896675,4304,0.8294609665427509,0.8298465829846583
10,0.4,high_precision,1.0,2.0,0.5,0.21303227389863788,4304,0.8294609665427509,0.8298465829846583
10,0.4,high_recall,1.0,0.25,1.0,0.32574549024420174,4304,0.8294609665427509,0.8298465829846583
10,0.5,balanced,1.0,0.5,0.25,0.35673088722542645,3837,0.8788115715402658,0.7838214783821479
10,0.5,false_alert_sensitive,1.0,1.0,0.25,0.3281997791140017,3837,0.8788115715402658,0.7838214783821479
10,0.5,high_precision,1.0,2.0,0.5,0.2426064547797276,3837,0.8788115715402658,0.7838214783821479
10,0.5,high_recall,1.0,0.25,1.0,0.28540311694686465,3837,0.8788115715402658,0.7838214783821479
10,0.6000000000000001,balanced,1.0,0.5,0.25,0.3369738618235366,3431,0.9221801224132906,0.7354718735471873
10,0.6000000000000001,false_alert_sensitive,1.0,1.0,0.25,0.3205914836176218,3431,0.9221801224132906,0.7354718735471873
10,0.6000000000000001,high_precision,1.0,2.0,0.5,0.2529144680328875,3431,0.9221801224132906,0.7354718735471873
10,0.6000000000000001,high_recall,1.0,0.25,1.0,0.24042827340778009,3431,0.9221801224132906,0.7354718735471873
10,0.7000000000000002,balanced,1.0,0.5,0.25,0.3110811142471469,3083,0.9549140447615958,0.6843328684332869
10,0.7000000000000002,false_alert_sensitive,1.0,1.0,0.25,0.302552460424592,3083,0.9549140447615958,0.6843328684332869
10,0.7000000000000002,high_precision,1.0,2.0,0.5,0.24383359921462755,3083,0.9549140447615958,0.6843328684332869
10,0.7000000000000002,high_recall,1.0,0.25,1.0,0.1903607804638606,3083,0.9549140447615958,0.6843328684332869
10,0.8,balanced,1.0,0.5,0.25,0.2803718247637747,2775,0.9776576576576577,0.6306369130636913
10,0.8,false_alert_sensitive,1.0,1.0,0.25,0.2765676770155847,2775,0.9776576576576577,0.6306369130636913
10,0.8,high_precision,1.0,2.0,0.5,0.2202110688428028,2775,0.9776576576576577,0.6306369130636913
10,0.8,high_recall,1.0,0.25,1.0,0.13602896060866365,2775,0.9776576576576577,0.6306369130636913
12,0.2,balanced,1.0,0.5,0.25,0.3811203828690637,5886,0.6916411824668706,0.9463040446304045
12,0.2,false_alert_sensitive,1.0,1.0,0.25,0.2697570254018898,5886,0.6916411824668706,0.9463040446304045
12,0.2,high_precision,1.0,2.0,0.5,0.0399435513559946,5886,0.6916411824668706,0.9463040446304045
12,0.2,high_recall,1.0,0.25,1.0,0.41554178426800836,5886,0.6916411824668706,0.9463040446304045
12,0.30000000000000004,balanced,1.0,0.5,0.25,0.38363602896060867,4991,0.7667802043678622,0.8895862389586239
12,0.30000000000000004,false_alert_sensitive,1.0,1.0,0.25,0.3122162228494294,4991,0.7667802043678622,0.8895862389586239
12,0.30000000000000004,high_precision,1.0,2.0,0.5,0.15480427046263345,4991,0.7667802043678622,0.8895862389586239
12,0.30000000000000004,high_recall,1.0,0.25,1.0,0.37562891152288624,4991,0.7667802043678622,0.8895862389586239
12,0.4,balanced,1.0,0.5,0.25,0.37602773346422874,4366,0.8275309207512598,0.8398419339841934
12,0.4,false_alert_sensitive,1.0,1.0,0.25,0.3298257454902442,4366,0.8275309207512598,0.8398419339841934
12,0.4,high_precision,1.0,2.0,0.5,0.21628420665112283,4366,0.8275309207512598,0.8398419339841934
12,0.4,high_recall,1.0,0.25,1.0,0.3357160387777641,4366,0.8275309207512598,0.8398419339841934
