week,threshold,alerts_sent,true_at_risk_reached,false_alerts,missed_at_risk,advisor_hours,precision,recall,net_utility_balanced,net_utility_false_alert_sensitive,net_utility_high_precision,net_utility_high_recall,net_utility
6,0.30000000000000004,5496,3849,1647,453,934.32,0.7003275109170306,0.8947001394700139,0.35737513805374893,0.2563197938397349,0.040311694686464596,0.3662105779850288,0.35737513805374893
6,0.4,4591,3537,1054,765,780.47,0.7704203877150948,0.8221757322175732,0.345901337587434,0.2812308258682047,0.12842066511228373,0.30782918149466193,0.345901337587434
6,0.5,3908,3238,670,1064,664.36,0.8285568065506653,0.7526731752673175,0.32359798748312674,0.2824886489139772,0.16762792980733832,0.24622653086268254,0.32359798748312674
6,0.6000000000000001,3318,2918,400,1384,564.0600000000001,0.8794454490657022,0.6782891678289168,0.2910786599582771,0.26653577126027733,0.17499079641673826,0.17597251196465824,0.2910786599582771
6,0.7000000000000002,2737,2540,197,1762,465.29,0.92802338326635,0.5904230590423059,0.24555160142348753,0.23346422873972267,0.15523377101484845,0.08942815069333661,0.24555160142348753
6,0.8,2230,2156,74,2146,379.1,0.9668161434977578,0.5011622501162251,0.19419560682292306,0.1896551724137931,0.11473800466314885,-0.0010430727696649897,0.19419560682292306
8,0.2,6226,4079,2147,223,1058.42,0.6551557982653389,0.9481636448163645,0.36197692968462386,0.2302429745981102,-0.0400662657994846,0.40731991655417843,0.36197692968462386
8,0.30000000000000004,5181,3820,1361,482,880.7700000000001,0.7373093997297819,0.8879590887959089,0.3704749048963063,0.2869677261013621,0.10516627807092895,0.3678672229721438,0.3704749048963063
8,0.4,4392,3552,840,750,746.6400000000001,0.8087431693989071,0.8256624825662483,0.3613326788563014,0.3097926125905019,0.18370352190452816,0.3180758375260768,0.3613326788563014
8,0.5,3901,3351,550,951,663.1700000000001,0.8590105101256088,0.7789400278940027,0.348294269235489,0.31454779727573934,0.21787949441649282,0.2776414283961222,0.348294269235489
8,0.6000000000000001,3437,3110,327,1192,584.2900000000001,0.9048588885656096,0.7229195722919572,0.32500920358326174,0.3049453920726469,0.22824886489139773,0.22533439685851026,0.32500920358326174
8,0.7000000000000002,3003,2818,185,1484,510.51000000000005,0.9383949383949384,0.6550441655044166,0.28893115719720214,0.2775800711743772,0.2093508405939379,0.15802552460424593,0.28893115719720214
8,0.8,2598,2525,73,1777,441.66,0.9719014626635873,0.5869363086936309,0.25085900110443,0.24637992391704502,0.18290587802184316,0.0895508651368266,0.25085900110443
10,0.2,6059,4074,1985,228,1030.03,0.6723881828684601,0.9470013947001394,0.3711498343355013,0.2493557491716775,-0.0012271444348999877,0.41106270708062337,0.3711498343355013
10,0.30000000000000004,5024,3820,1204,482,854.08,0.7603503184713376,0.8879590887959089,0.3801079887102712,0.30623389372929194,0.14369861332678857,0.3726837648791263,0.3801079887102712
