AUROC,AUPRC,Brier,ECE,Precision,Recall,F1,F1_opt_th,Precision_opt_th,Recall_opt_th,opt_threshold,OOF_train_F1_at_opt_threshold,week,model,target,seed,AUROC_CI_low,AUROC_CI_high,n_features
0.8470256061712603,0.7735057957478537,0.13209347216312003,0.01704975781621965,0.8074115665356542,0.5686041913799921,0.6672853828306264,0.6830958798613785,0.6656660412757974,0.7014630288651641,0.30000000000000004,0.6761496492595479,4,Stable-Causal-Temporal,dropout,42,0.8364929353022117,0.8562000408933831,75
0.6928889338261572,0.3651012824644683,0.22276037527934844,0.24851996602713228,0.3283964682426659,0.6503102086858432,0.4364118092354277,0.43528586460890917,0.3158564520234156,0.6999435984207558,0.475,0.4405958151081688,4,Logistic,failure,42,0.6803414396051114,0.708663554358858,82
0.7092252231117678,0.36899739448792523,0.1723981745503136,0.12656010580359364,0.4166089965397924,0.3395375070501974,0.37414543194530764,0.451513990034496,0.341944847605225,0.664410603496898,0.375,0.45418016850291637,4,RandomForest,failure,42,0.696799044440166,0.7241713071174151,82
0.7136343829546926,0.38356913248250507,0.2143397191356949,0.23935075760425295,0.3371222622678126,0.6858432036097011,0.45204460966542753,0.45375822653273296,0.32741814546363407,0.7388606880992667,0.475,0.4548863370049215,4,XGBoost,failure,42,0.7013417470808769,0.7273119944547953,82
0.7143692576717117,0.3776335584462003,0.15438244669393617,0.012227110084204023,0.5053763440860215,0.05301748448956571,0.0959673302705462,0.45446660884648743,0.3281563126252505,0.7388606880992667,0.2,0.45281285878300803,4,Stable-Causal-Temporal,failure,42,0.7020788653465506,0.7292220860720914,75
0.853657677700243,0.7724789054748493,0.14644116908137064,0.12176337689569101,0.6876190476190476,0.7137208382759984,0.7004268529297633,0.7017474185861795,0.704826485839649,0.6986951364175563,0.525,0.6884332072466653,6,Logistic,dropout,42,0.8430996724390235,0.8617187457705391,82
0.856383003423631,0.7799994028334672,0.13348290565242507,0.07123294603136282,0.7560529922338968,0.6544088572558323,0.7015684612123781,0.7032399125422382,0.7070343725019984,0.6994859628311586,0.42500000000000004,0.69050967785145,6,RandomForest,dropout,42,0.846866000961016,0.8641791924045242,82
0.8588998225565645,0.7890752243926452,0.1428770776050358,0.11881565662567888,0.6940184049079755,0.7156979043100039,0.7046914541561222,0.7055300459173488,0.7125,0.6986951364175563,0.525,0.6958790473641959,6,XGBoost,dropout,42,0.848651219333867,0.8669941892954394,82
0.8572954440237023,0.7891900957112178,0.12634787023869132,0.01352303114469736,0.8056293149229952,0.5998418347172796,0.6876699909338169,0.7006857603872529,0.715109098394401,0.6868327402135231,0.35,0.6947654656696125,6,Stable-Causal-Temporal,dropout,42,0.845864648395472,0.8658539887385264,75
0.7048350819945919,0.37896921436429304,0.21922691358576554,0.2449635651839456,0.3369847218218507,0.6593344613649182,0.4460129721480351,0.44534842589317297,0.32440092759598044,0.7100958826847151,0.475,0.4462004634305745,6,Logistic,failure,42,0.6921831443856634,0.71918421309058,82
