train_module,test_module,target,baseline_AUROC,stable_causal_AUROC,baseline_AUPRC,stable_causal_AUPRC,baseline_ECE,stable_causal_ECE,baseline_Brier,stable_causal_Brier,AUROC_delta,AUPRC_delta,ECE_delta,Brier_delta
EEE,BBB,dropout,0.8688765857300752,0.8640669082294891,0.8020937795848615,0.7880292343507873,0.3193167063784062,0.0669277864362399,0.24089387298782197,0.1255136112581666,-0.00480967750058614,-0.014064545234074188,-0.2523889199421663,-0.11538026172965538
EEE,BBB,failure,0.6680504424894549,0.6791141531205351,0.3431318956638735,0.35683252890643546,0.18750270057169569,0.059891941202511324,0.20515360921121234,0.1668502605085882,0.011063710631080248,0.013700633242561988,-0.12761075936918437,-0.03830334870262414
EEE,CCC,dropout,0.8719956141479762,0.8621814980876243,0.8627446731217372,0.8547728408484322,0.08437763645792994,0.11062309863926563,0.14900045774101736,0.16018768384653354,-0.009814116060351874,-0.007971832273305002,0.026245462181335694,0.011187226105516174
EEE,CCC,failure,0.7020691954028629,0.6883818151674399,0.30905221159609764,0.29147530448176706,0.3500904503984592,0.09243623651802024,0.26895289232426717,0.1529080794001641,-0.013687380235423041,-0.017576907114330576,-0.25765421388043896,-0.11604481292410307
EEE,DDD,dropout,0.8400519918227526,0.8289440853085805,0.7887348261256877,0.7761092520559372,0.09179349547315613,0.11359258495673943,0.15715490347223915,0.16441790536079579,-0.011107906514172039,-0.012625574069750511,0.021799089483583306,0.007263001888556636
EEE,DDD,failure,0.6970120163443267,0.6789499032397206,0.38384181343804047,0.3641914327394021,0.20826794855086947,0.07236580093187485,0.21148977915940903,0.16875665876768453,-0.018062113104606148,-0.019650380698638392,-0.1359021476189946,-0.0427331203917245
EEE,FFF,dropout,0.8542022369407152,0.8461591325826856,0.7822319821420363,0.7716730822780979,0.062450044257367145,0.10134149627868391,0.13771477294097612,0.1454673930283347,-0.008043104358029574,-0.01055889986393832,0.03889145202131677,0.0077526200873585804
EEE,FFF,failure,0.7244487509780734,0.7000867166393274,0.39694237602914056,0.36798434917468126,0.22188325027192024,0.06112807300807437,0.21190842183445202,0.16382516435538197,-0.024362034338745953,-0.028958026854459307,-0.16075517726384586,-0.04808325747907005
EEE,GGG,dropout,0.7589267166057704,0.7618159849938289,0.40373912204330276,0.3820442111997891,0.588357464678662,0.3341292656227573,0.4385366555856433,0.21031252010099258,0.0028892683880584746,-0.02169491084351366,-0.2542281990559047,-0.22822413548465073
EEE,GGG,failure,0.5155795547199202,0.5275672209849951,0.3104310332000394,0.3200712770916695,0.3106198304265902,0.13918596678228867,0.3201643076163046,0.22865963848831508,0.011987666265074859,0.009640243891630096,-0.17143386364430152,-0.09150466912798952
FFF,AAA,dropout,0.8149020058184044,0.7846169550349613,0.6545801973019852,0.6276987565655519,0.2512512714726562,0.14492408271662524,0.16327227454507393,0.12295275945628845,-0.030285050783443124,-0.026881440736433393,-0.10632718875603095,-0.04031951508878548
FFF,AAA,failure,0.7604495960660345,0.6971916971916972,0.3287162168998806,0.28761640467944294,0.36988285939921356,0.13098932598550983,0.2398695060306502,0.12008794500860472,-0.0632578988743373,-0.04109981222043768,-0.23889353341370373,-0.11978156102204547
FFF,BBB,dropout,0.8772075374153869,0.8644389079976955,0.8144767342244527,0.799140830405117,0.2597252307074654,0.12110916339648271,0.19622049726195692,0.13871640068863736,-0.012768629417691413,-0.015335903819335694,-0.1386160673109827,-0.05750409657331956
FFF,BBB,failure,0.6958316909172965,0.6724908628226484,0.3839995105504594,0.3684502781687275,0.3143479968165045,0.10384900801072965,0.2707755638020356,0.1773828360322163,-0.023340828094648103,-0.015549232381731892,-0.21049898880577483,-0.0933927277698193
FFF,CCC,dropout,0.8707596481022954,0.8483270445431661,0.8583094507917973,0.8386676863856148,0.1503353993633966,0.05394521021660566,0.17164094690213652,0.15654026938097607,-0.02243260355912935,-0.019641764406182483,-0.09639018914679094,-0.015100677521160455
